State,District,Latitude,Longitude,District code,Population,Households with Internet,Households with  Electric Lighting,Age 0 to 29,Age 30 to 49,Age 50+,Sex Ratio,Literacy Rate,Percent of Hindu Population,Percent of Christian Population,Percent of Muslims Population,Percent of Buddhists Population,Percent of Jains Population,Percent of Sikhs Population,Percent of Other Religions Population,Percent of people not state their Religion,Percent of Below Primary Education,Percent of Middle Education,Percent of Secondary Education,Percent of Higher Education,Percent of Graduate Education
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,4358,133368,1159991,501239,261648,96.0,58.0,73.94712360519928,7.180774487945076,18.2180852446066,0.2644339460841636,0.0521279968400975,0.07083794585548643,0.011485829812224874,0.25513094365706745,11.231010701051396,19.62741215419077,7.347448950423832,4.69749650487758,2.593458793935898
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,5135,161718,799874,352158,175377,95.0,60.0,88.96160864022097,5.789240237994652,3.6427399356441494,1.2220532874875087,0.06303047828611319,0.15053515662358455,0.029745566216266082,0.1410466975267503,11.363032210306425,20.806232863353387,8.268890881967334,4.596631295799701,2.8730451703366673
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,2561,43290,1872943,612012,324091,92.0,43.0,56.67742815488433,0.14639512670683166,42.94548702165943,0.006651090547662177,0.0679335986418971,0.013195479107928705,0.002240741735308648,0.14066878671659847,22.242278243927146,7.332596141158193,4.017507662091878,2.4248737982244077,1.4094265515091395
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2362,44456,1626969,564571,340948,93.0,58.0,90.19949426650336,0.08732032504577623,9.344337741474359,0.013149228388317974,0.030510934134570147,0.011613839444771863,0.0007480099981378487,0.3128256550107024,22.027398425163373,11.915484318757768,9.965934049926911,5.385002714488914,3.597180081044915
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,23258,589477,2211996,909771,571932,92.0,68.0,68.77179312465248,0.43203949334311736,21.254176255686545,8.350971366137463,0.8370343032495228,0.13892483739417855,0.02715275409979569,0.18790786543689458,10.31250793643932,11.427499985140283,14.53377505415691,8.396063850309163,6.842304909488119
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,2362,44456,1626969,564571,340948,93.0,58.0,90.19949426650336,0.08732032504577623,9.344337741474359,0.013149228388317974,0.030510934134570147,0.011613839444771863,0.0007480099981378487,0.3128256550107024,22.027398425163373,11.915484318757768,9.965934049926911,5.385002714488914,3.597180081044915
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,23258,589477,2211996,909771,571932,92.0,68.0,68.77179312465248,0.43203949334311736,21.254176255686545,8.350971366137463,0.8370343032495228,0.13892483739417855,0.02715275409979569,0.18790786543689458,10.31250793643932,11.427499985140283,14.53377505415691,8.396063850309163,6.842304909488119
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1704,62359,1291235,462080,278863,91.0,47.0,87.11849979579931,0.30165675314520657,12.331903027527039,0.005553472320855057,0.004619702638587393,0.00683126241237923,0.05086587479721225,0.18007011135940648,20.060714687656496,9.647560919871259,5.929584919717923,3.101245697901918,1.757796853982503
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,4644,120373,1951688,644874,369996,89.0,52.0,85.98871384034086,0.07436355869183425,13.712922999547894,0.007709033472354026,0.00929123684877603,0.013532888453652046,0.0019188423926820063,0.19154760025194065,19.444303243079293,9.825718614892034,6.973005927203159,4.873960669117174,3.4281970859853477
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,6764,174534,1952879,674660,397654,88.0,52.0,81.89788153531246,0.11705970769308761,17.68069034942125,0.0059254070260843,0.03456487431882509,0.01366135508791658,0.0010534056935260978,0.2491633654468448,20.233421534114214,9.90092719452387,8.13357579221046,5.090681770748636,3.9121841511163136
